Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-04-18 12:12:09,false,"Roeland Park Running","3.10","273","00:21:33","145","167","169","181","6:57","5:43","98","151","1.37","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","00:36.37","4","0.0","00:21:32","00:21:33","899","1,010"
Running,2022-04-16 11:36:11,false,"Roeland Park Running","3.10","281","00:22:20","147","162","169","181","7:13","6:31","141","141","1.32","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","00:42.90","4","0.0","00:22:19","00:22:20","896","981"
Running,2022-04-15 15:35:01,false,"Roeland Park Running","3.10","313","00:24:45","150","186","166","184","8:00","6:32","184","144","1.21","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","00:47.34","4","0.0","00:24:44","00:24:45","921","1,017"
Running,2022-04-14 11:28:39,false,"Roeland Park Running","3.12","400","00:24:10","189","208","164","179","7:45","1:35","148","167","1.27","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","00:46.30","4","0.0","00:24:10","00:24:10","883","972"
Strength Training,2022-04-13 12:00:49,false,"Strength","0.00","273","00:33:28","118","162","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","35","1","0:00","0.0","0:00","No","33:28.22","1","0.0","00:33:28","00:33:28","--","--"
Strength Training,2022-04-12 14:26:36,false,"Strength","0.00","90","00:27:01","81","114","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","36","1","0:00","0.0","0:00","No","27:00.87","1","0.0","00:27:01","00:27:01","--","--"
Walking,2022-04-12 09:33:07,false,"Walking","0.52","29","00:13:57","61","109","86","164","26:56","8:20","112","23","0.69","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","13:57.11","1","0.0","00:10:17","00:13:57","957","1,062"
Running,2022-04-11 18:52:45,false,"Overland Park Running","2.18","481","00:45:04","137","142","44","211","20:41","3:59","184","184","1.82","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","05:21.100","3","0.0","00:27:02","00:45:04","732","747"
Running,2022-04-11 12:10:59,false,"Roeland Park Running","3.10","301","00:22:52","156","171","166","178","7:22","6:38","174","144","1.31","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","00:42.44","4","0.0","00:22:48","00:22:52","915","1,010"
Running,2022-04-09 13:30:19,false,"Spring 10k","6.40","--","00:54:40","158","169","--","--","8:32","5:15","349","345","0.00","0.0","0.0","80","86","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","54:39.100","1","0.0","00:54:04","00:54:40","853","968"
Strength Training,2022-04-07 11:54:27,false,"Strength","0.00","169","00:36:56","94","111","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","5","1","0:00","0.0","0:00","No","36:55.55","1","0.0","00:36:56","00:36:56","--","--"
